emp_code,first_name,middle_name,last_name,address,role,manager,login,user_role,password,email,biz_zone,,,,,
Asif Iqbal,Asif Iqbal,,,,ED,,ED,National,12345,ED@test.com,,,,,,
Abid Hossain Khan,Abid Hossain Khan,,,,AGM-A,Asif Iqbal,AGM-A,PL,12345,AGM-A@test.com,,,,,,
Joynal Abedin,Joynal Abedin,,,,Sr.Mgr-A,Abid Hossain Khan,Sr.Mgr-A,PL,12345,Sr.Mgr-A@test.com,,,,,,
blank(PL-A(Dhaka East)),blank(PL-A(Dhaka East)),,,,Dy-Mgr-A,Joynal Abedin,PL-A(Dhaka East),Wing,12345,PL-A(Dhaka East)@test.com,PL-A(Dhaka East),,,,,
blank(PL-A(Dhaka West)),blank(PL-A(Dhaka West)),,,,Dy-Mgr-A,Joynal Abedin,PL-A(Dhaka West),Wing,12345,PL-A(Dhaka West)@test.com,PL-A(Dhaka West),,,,,
blank(PL-A(Ctg Wing)),blank(PL-A(Ctg Wing)),,,,Dy-Mgr-A,Joynal Abedin,PL-A(Ctg Wing),Wing,12345,PL-A(Ctg Wing)@test.com,PL-A(Ctg Wing),,,,,
blank(PL-A(Comilla Wing)),blank(PL-A(Comilla Wing)),,,,Dy-Mgr-A,Joynal Abedin,PL-A(Comilla Wing),Wing,12345,PL-A(Comilla Wing)@test.com,PL-A(Comilla Wing),,,,,
Nazrul Islam,Nazrul Islam,,,,Dy-Mgr-A,Joynal Abedin,Sylhet_wing,Wing,12345,Sylhet_wing@test.com,Sylhet_wing,,,,,
blank(PL-A(North Bengal)),blank(PL-A(North Bengal)),,,,Dy-Mgr-A,Joynal Abedin,PL-A(North Bengal),Wing,12345,PL-A(North Bengal)@test.com,PL-A(North Bengal),,,,,
blank(PL-A(South Bengal)),blank(PL-A(South Bengal)),,,,Dy-Mgr-A,Joynal Abedin,PL-A(South Bengal),Wing,12345,PL-A(South Bengal)@test.com,PL-A(South Bengal),,,,,
Blank(Narayanganj[Div](A)),Blank(Narayanganj[Div](A)),,,,Asst.-Manager-A,blank(PL-A(Dhaka East)),Narayanganj[Div](A),Division,12345,Narayanganj[Div](A)@test.com,Narayanganj[Div](A),,,,,
Rafiqul Islam Masud,Rafiqul Islam Masud,,,,Asst.-Manager-A,blank(PL-A(Dhaka East)),Dhaka South[Div](A),Division,12345,Dhaka South[Div](A)@test.com,Dhaka South[Div](A),,,,,
Kamrul Hossain,Kamrul Hossain,,,,Asst.-Manager-A,blank(PL-A(Dhaka East)),Dhaka North[Div](A),Division,12345,Dhaka North[Div](A)@test.com,Dhaka North[Div](A),,,,,
Motahar Hossain,Motahar Hossain,,,,Asst.-Manager-A,blank(PL-A(Dhaka West)),Dhaka Metro[Div](A),Division,12345,Dhaka Metro[Div](A)@test.com,Dhaka Metro[Div](A),,,,,
S.M Ali Hossain,S.M Ali Hossain,,,, DSM-A,blank(PL-A(Dhaka West)),Gazipur[Div](A),Division,12345,Gazipur[Div](A)@test.com,Gazipur[Div](A),,,,,
Imam Uddin ,Imam Uddin ,,,,Asst.-Manager-A,blank(PL-A(Dhaka West)),Mymensingh[Div](A),Division,12345,Mymensingh[Div](A)@test.com,Mymensingh[Div](A),,,,,
Blank(Chittagong-1[Div](A)),Blank(Chittagong-1[Div](A)),,,, DSM-A,blank(PL-A(Ctg Wing)),Chittagong-1[Div](A),Division,12345,Chittagong-1[Div](A)@test.com,Chittagong-1[Div](A),,,,,
Reazul Karim,Reazul Karim,,,, DSM-A,blank(PL-A(Ctg Wing)),Chittagong-2[Div](A),Division,12345,Chittagong-2[Div](A)@test.com,Chittagong-2[Div](A),,,,,
Mr. Ashraful Alam (Repon),Mr. Ashraful Alam (Repon),,,, DSM-A,blank(PL-A(Comilla Wing)),Noakhali[Div](A),Division,12345,Noakhali[Div](A)@test.com,Noakhali[Div](A),,,,,
Blank(Comilla[Div](A)),Blank(Comilla[Div](A)),,,, DSM-A,blank(PL-A(Comilla Wing)),Comilla[Div](A),Division,12345,Comilla[Div](A)@test.com,Comilla[Div](A),,,,,
Nazrul Islam(Div),Nazrul Islam,,,,Dy-Mgr-A,Nazrul Islam,Sylhet[Div](A),Division,12345,Sylhet[Div](A)@test.com,Sylhet[Div](A),,,,,
Asaduzzaman(Rangpur),Asaduzzaman(Rangpur),,,,Asst.-Manager-A,blank(PL-A(North Bengal)),Rangpur[Div](A),Division,12345,Rangpur[Div](A)@test.com,Rangpur[Div](A),,,,,
Asaduzzaman(Bogra),Asaduzzaman(Bogra),,,,Asst.-Manager-A,blank(PL-A(North Bengal)),Bogra[Div](A),Division,12345,Bogra[Div](A)@test.com,Bogra[Div](A),,,,,
Mr. Jahangir Razib,Mr. Jahangir Razib,,,, DSM-A,blank(PL-A(South Bengal)),Khulna[Div](A),Division,12345,Khulna[Div](A)@test.com,Khulna[Div](A),,,,,
Mr. Kafil Uddin,Mr. Kafil Uddin,,,, DSM-A,blank(PL-A(South Bengal)),Barisal[Div](A),Division,12345,Barisal[Div](A)@test.com,Barisal[Div](A),,,,,
S.M Tawfiqul Islam,S.M Tawfiqul Islam,,,,RM-A,Blank(Narayanganj[Div](A)),Narayangonj[Reg](A),Region,12345,Narayangonj[Reg](A)@test.com,Narayangonj[Reg](A),,,,,
Sohel Rana,Sohel Rana,,,,RI-A,Blank(Narayanganj[Div](A)),Narshingdi[Reg](A),Region,12345,Narshingdi[Reg](A)@test.com,Narshingdi[Reg](A),,,,,
Tusher Kanti,Tusher Kanti,,,,RM-A,Rafiqul Islam Masud,Khilgaon[Reg](A),Region,12345,Khilgaon[Reg](A)@test.com,Khilgaon[Reg](A),,,,,
Mr. Kazi Imran,Mr. Kazi Imran,,,,RI-A,Rafiqul Islam Masud,Jatrabari[Reg](A),Region,12345,Jatrabari[Reg](A)@test.com,Jatrabari[Reg](A),,,,,
Mehadi Hasan Sajal,Mehadi Hasan Sajal,,,,RM-A,Kamrul Hossain,Gulshan[Reg](A),Region,12345,Gulshan[Reg](A)@test.com,Gulshan[Reg](A),,,,,
Md. Rashedul Islam,Md. Rashedul Islam,,,,RM-A,Kamrul Hossain,Uttara[Reg](A),Region,12345,Uttara[Reg](A)@test.com,Uttara[Reg](A),,,,,
Mr. Kabir Ahammed,Mr. Kabir Ahammed,,,,RM-A,Motahar Hossain,Mirpur[Reg](A),Region,12345,Mirpur[Reg](A)@test.com,Mirpur[Reg](A),,,,,
Asraful Islam Babon,Asraful Islam Babon,,,,RI-A,Motahar Hossain,Mohammadpur[Reg](A),Region,12345,Mohammadpur[Reg](A)@test.com,Mohammadpur[Reg](A),,,,,
blank(Lalbag[Reg](A)),blank(Lalbag[Reg](A)),,,,RI-A,Motahar Hossain,Lalbag[Reg](A),Region,12345,Lalbag[Reg](A)@test.com,Lalbag[Reg](A),,,,,
Nasiruddin(Gazipur[Reg](A)),Nasiruddin(Gazipur[Reg](A)),,,,RI-A,S.M Ali Hossain,Gazipur[Reg](A),Region,12345,Gazipur[Reg](A)@test.com,Gazipur[Reg](A),,,,,
Reazul Haque,Reazul Haque,,,,RM-A,S.M Ali Hossain,Savar[Reg](A),Region,12345,Savar[Reg](A)@test.com,Savar[Reg](A),,,,,
Tariqul Islam(Mymensingh[Reg](A)),Tariqul Islam(Mymensingh[Reg](A)),,,,RM-A,Imam Uddin ,Mymensingh[Reg](A),Region,12345,Mymensingh[Reg](A)@test.com,Mymensingh[Reg](A),,,,,
Mehfuz Kamal Bhuiyan,Mehfuz Kamal Bhuiyan,,,,RM-A,Imam Uddin ,Tangail[Reg](A),Region,12345,Tangail[Reg](A)@test.com,Tangail[Reg](A),,,,,
Belayet Hossain,Belayet Hossain,,,,RI-A,Blank(Chittagong-1[Div](A)),Ctg. North[Reg](A),Region,12345,Ctg. North[Reg](A)@test.com,Ctg. North[Reg](A),,,,,
Nazmul Hassan,Nazmul Hassan,,,,RI-A,Blank(Chittagong-1[Div](A)),Potiya[Reg](A),Region,12345,Potiya[Reg](A)@test.com,Potiya[Reg](A),,,,,
Md. Nurul Islam,Md. Nurul Islam,,,,RI-A,Blank(Chittagong-1[Div](A)),Cox's Bazar[Reg](A),Region,12345,Cox's Bazar[Reg](A)@test.com,Cox's Bazar[Reg](A),,,,,
Abul Kashem,Abul Kashem,,,,RM-A,Reazul Karim,Ctg. Metro[Reg](A),Region,12345,Ctg. Metro[Reg](A)@test.com,Ctg. Metro[Reg](A),,,,,
Mr. Obaydullah,Mr. Obaydullah,,,,RI-A,Reazul Karim,Hathazari[Reg](A),Region,12345,Hathazari[Reg](A)@test.com,Hathazari[Reg](A),,,,,
Md. Nurul Huda,Md. Nurul Huda,,,,RI-A,Reazul Karim,Direct Party[Reg](A),Region,12345,Direct Party[Reg](A)@test.com,Direct Party[Reg](A),,,,,
Mr. Biton Gosh,Mr. Biton Gosh,,,,RM-A,Mr. Ashraful Alam (Repon),Noakhali[Reg](A),Region,12345,Noakhali[Reg](A)@test.com,Noakhali[Reg](A),,,,,
Mr. Murad Hossain,Mr. Murad Hossain,,,,RI-A,Mr. Ashraful Alam (Repon),Feni[Reg](A),Region,12345,Feni[Reg](A)@test.com,Feni[Reg](A),,,,,
 Elyas Bhuiyan, Elyas Bhuiyan,,,,RM-A,Blank(Comilla[Div](A)),Comilla[Reg](A),Region,12345,Comilla[Reg](A)@test.com,Comilla[Reg](A),,,,,
Mr. Kamruzzaman,Mr. Kamruzzaman,,,,RM-A,Blank(Comilla[Div](A)),Chandpur[Reg](A),Region,12345,Chandpur[Reg](A)@test.com,Chandpur[Reg](A),,,,,
 Hayatun Nobi Majumder, Hayatun Nobi Majumder,,,,RI-A,Blank(Comilla[Div](A)),B. Baria[Reg](A),Region,12345,B. Baria[Reg](A)@test.com,B. Baria[Reg](A),,,,,
Mr. Ataur Rahman,Mr. Ataur Rahman,,,,RM-A,Nazrul Islam,Sylhet North[Reg](A),Region,12345,Sylhet North[Reg](A)@test.com,Sylhet North[Reg](A),,,,,
Faruk Hossain,Faruk Hossain,,,,RI-A,Nazrul Islam,Sylhet South[Reg](A),Region,12345,Sylhet South[Reg](A)@test.com,Sylhet South[Reg](A),,,,,
Mirza Md. Shirajul Islam(Sreemangal[Reg](A)),Mirza Md. Shirajul Islam(Sreemangal[Reg](A)),,,,RI-A,Nazrul Islam,Sreemangal[Reg](A),Region,12345,Sreemangal[Reg](A)@test.com,Sreemangal[Reg](A),,,,,
Azhar Kamal Siddiqui,Azhar Kamal Siddiqui,,,,RI-A,Asaduzzaman(Rangpur),Rangpur[Reg](A),Region,12345,Rangpur[Reg](A)@test.com,Rangpur[Reg](A),,,,,
blank(Dinajpur[Reg](A)),blank(Dinajpur[Reg](A)),,,,RI-A,Asaduzzaman(Rangpur),Dinajpur[Reg](A),Region,12345,Dinajpur[Reg](A)@test.com,Dinajpur[Reg](A),,,,,
Maruf Hossain(Bogra[Reg](A)),Maruf Hossain(Bogra[Reg](A)),,,,RM-A,Asaduzzaman(Bogra),Bogra[Reg](A),Region,12345,Bogra[Reg](A)@test.com,Bogra[Reg](A),,,,,
Mr. Faizul Haque,Mr. Faizul Haque,,,,RI-A,Asaduzzaman(Bogra),Rajshahi[Reg](A),Region,12345,Rajshahi[Reg](A)@test.com,Rajshahi[Reg](A),,,,,
Ripon Baidya,Ripon Baidya,,,,RI-A,Mr. Jahangir Razib,Khulna[Reg](A),Region,12345,Khulna[Reg](A)@test.com,Khulna[Reg](A),,,,,
Bikash Kumar Das,Bikash Kumar Das,,,,RM-A,Mr. Jahangir Razib,Jessore[Reg](A),Region,12345,Jessore[Reg](A)@test.com,Jessore[Reg](A),,,,,
Tariqul Islam(Barisal[Reg](A)),Tariqul Islam(Barisal[Reg](A)),,,,RI-A,Mr. Kafil Uddin,Barisal[Reg](A),Region,12345,Barisal[Reg](A)@test.com,Barisal[Reg](A),,,,,
Asaduzzaman(Potuakhali[Reg](A)),Asaduzzaman(Potuakhali[Reg](A)),,,,TM-A,Mr. Kafil Uddin,Potuakhali[Reg](A),Region,12345,Potuakhali[Reg](A)@test.com,Potuakhali[Reg](A),,,,,
Mr. Sugit Biswas,Mr. Sugit Biswas,,,,RI-A,Mr. Kafil Uddin,Faridpur[Reg](A),Region,12345,Faridpur[Reg](A)@test.com,Faridpur[Reg](A),,,,,
Blank(Narayangonj[Terr](A)),Blank(Narayangonj[Terr](A)),,,,Blank,S.M Tawfiqul Islam,Narayangonj[Terr](A),Territory,12345,Narayangonj[Terr](A)@test.com,Narayangonj[Terr](A),,,,,
Blank(Bondor[Terr](A)),Blank(Bondor[Terr](A)),,,,Blank,S.M Tawfiqul Islam,Bondor[Terr](A),Territory,12345,Bondor[Terr](A)@test.com,Bondor[Terr](A),,,,,
Monjur Alam,Monjur Alam,,,,ZSO-A,S.M Tawfiqul Islam,Fatulla[Terr](A),Territory,12345,Fatulla[Terr](A)@test.com,Fatulla[Terr](A),,,,,
Shumon ur Rahman,Shumon ur Rahman,,,,TSO-A,S.M Tawfiqul Islam,Adamjee[Terr](A),Territory,12345,Adamjee[Terr](A)@test.com,Adamjee[Terr](A),,,,,
Blank(Demra[Terr](A)),Blank(Demra[Terr](A)),,,,Blank,S.M Tawfiqul Islam,Demra[Terr](A),Territory,12345,Demra[Terr](A)@test.com,Demra[Terr](A),,,,,
Abu Nayeem,Abu Nayeem,,,,TSO-A,S.M Tawfiqul Islam,Sonargaon[Terr](A),Territory,12345,Sonargaon[Terr](A)@test.com,Sonargaon[Terr](A),,,,,
Musa Kalimulla,Musa Kalimulla,,,,TSO-A,Sohel Rana,Narshingdi[Terr](A),Territory,12345,Narshingdi[Terr](A)@test.com,Narshingdi[Terr](A),,,,,
Bijon Chakrabarti,Bijon Chakrabarti,,,,TM-A,Sohel Rana,Bhairab[Terr](A),Territory,12345,Bhairab[Terr](A)@test.com,Bhairab[Terr](A),,,,,
